Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:46
Created by CETR UMT ver.1.136.257 12 May 2022 12:23:01
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_014.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:23:01
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.12
Data Count   = 107
Started at: 12:23:02.136 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

168.347336,-200.220673,-0.6610,0.000000,3.949250,0.000075,0.000000,0.000000,0.0000,168.347336,0.840809
168.324677,-200.246094,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0200,168.324677,0.840589
168.332504,-200.225266,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0400,168.332504,0.840716
168.272339,-200.271484,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0600,168.272339,0.840221
166.174942,-200.220673,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0800,166.174942,0.829959
144.862595,-200.026596,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.1000,144.862595,0.724217
96.647041,-200.356873,-0.6621,0.000000,3.949250,-0.007350,0.000000,0.000000,0.1200,96.647041,0.482374
46.654663,-200.418091,-0.6625,0.000000,3.949250,-0.009600,0.000000,0.000000,0.1400,46.654663,0.232787
0.195730,-199.657166,-0.6625,0.000000,3.949250,-0.008200,0.000000,0.000000,0.1600,0.195730,0.000980
-48.518837,-199.650513,-0.6625,0.000000,3.949250,-0.007000,0.000000,0.000000,0.1800,48.518837,0.243019
-99.492340,-200.251083,-0.6625,0.000000,3.949250,-0.005575,0.000000,0.000000,0.2000,99.492340,0.496838
-114.669876,-202.676712,-0.6625,0.000000,3.949250,-0.004800,0.000000,0.000000,0.2200,114.669876,0.565777
-120.494392,-203.746262,-0.6625,0.000000,3.949250,-0.004275,0.000000,0.000000,0.2400,120.494392,0.591394
-128.541168,-204.678360,-0.6625,0.000000,3.949250,-0.003800,0.000000,0.000000,0.2600,128.541168,0.628015
-131.803482,-205.425537,-0.6625,0.000000,3.949250,-0.003000,0.000000,0.000000,0.2800,131.803482,0.641612
-141.645218,-205.490509,-0.6639,0.000000,3.949250,-0.012500,0.000000,0.000000,0.3000,141.645218,0.689303
-145.879562,-205.564224,-0.6651,0.000000,3.949250,-0.019650,0.000000,0.000000,0.3200,145.879562,0.709654
-143.843155,-205.625443,-0.6664,0.000000,3.949250,-0.026775,0.000000,0.000000,0.3400,143.843155,0.699540
-146.875519,-205.415115,-0.6677,0.000000,3.949250,-0.032500,0.000000,0.000000,0.3600,146.875519,0.715018
-148.956451,-205.050690,-0.6685,0.000000,3.949250,-0.034500,0.000000,0.000000,0.3800,148.956451,0.726437
-152.442505,-204.889511,-0.6704,0.000000,3.949250,-0.040675,0.000000,0.000000,0.4000,152.442505,0.744023
-157.187408,-204.502609,-0.6716,0.000000,3.949250,-0.044500,0.000000,0.000000,0.4200,157.187408,0.768633
